#Province id 0 is ignored, hard coded.
0;0;0;0;;x;;;;;;;;;;;;;;;;;,
1;0;94;255;x;x;;;;;;;;;;;;;;;;;;;,
2;187;209;240;x;x;;;;;;;;;;;;;;;;;;;,
3;0;64;79;x;x;;;;;;;;;;;;;;;;;;;,
4;187;210;239;x;x;;;;;;;;;;;;;;;;;;;,
5;0;72;169;x;x;;;;;;;;;;;;;;;;;;;,
6;0;145;215;x;x;;;;;;;;;;;;;;;;;;;,
7;0;93;123;x;x;;;;;;;;;;;;;;;;;;;,
8;62;76;168;x;x;;;;;;;;;;;;;;;;;;;,
9;254;254;253;x;x;;;;;;;;;;;;;;;;;;;,
10;0;52;145;x;x;;;;;;;;;;;;;;;;;;;,
11;0;60;120;x;x;;;;;;;;;;;;;;;;;;;,
12;104;155;220;x;x;;;;;;;;;;;;;;;;;;;,
13;0;57;100;x;x;;;;;;;;;;;;;;;;;;;,
14;0;134;146;x;x;;;;;;;;;;;;;;;;;;;,
15;0;59;109;x;x;;;;;;;;;;;;;;;;;;;,
16;26;55;167;x;x;;;;;;;;;;;;;;;;;;;,
17;0;179;184;x;x;;;;;;;;;;;;;;;;;;;,
18;0;132;141;x;x;;;;;;;;;;;;;;;;;;;,
19;0;30;210;x;x;;;;;;;;;;;;;;;;;;;,
20;8;116;140;x;x;;;;;;;;;;;;;;;;;;;,
21;0;50;168;x;x;;;;;;;;;;;;;;;;;;;,
22;0;52;80;x;x;;;;;;;;;;;;;;;;;;;,
23;165;176;146;x;x;;;;;;;;;;;;;;;;;;;,
24;41;94;84;x;x;;;;;;;;;;;;;;;;;;;,
25;0;58;78;x;x;;;;;;;;;;;;;;;;;;;,
26;9;0;129;x;x;;;;;;;;;;;;;;;;;;;,
27;115;148;230;x;x;;;;;;;;;;;;;;;;;;;,
28;0;32;220;x;x;;;;;;;;;;;;;;;;;;;,
29;0;64;44;x;x;;;;;;;;;;;;;;;;;;;,
30;0;111;212;x;x;;;;;;;;;;;;;;;;;;;,
31;9;8;140;x;x;;;;;;;;;;;;;;;;;;;,
32;0;58;118;x;x;;;;;;;;;;;;;;;;;;;,
33;0;58;134;x;x;;;;;;;;;;;;;;;;;;;,
34;177;170;243;x;x;;;;;;;;;;;;;;;;;;;,
35;114;34;163;x;x;;;;;;;;;;;;;;;;;;;,
36;0;50;145;x;x;;;;;;;;;;;;;;;;;;;,
37;185;148;136;x;x;;;;;;;;;;;;;;;;;;;,
38;0;3;99;x;x;;;;;;;;;;;;;;;;;;;,
39;160;228;116;x;x;;;;;;;;;;;;;;;;;;;,
40;0;21;27;x;x;;;;;;;;;;;;;;;;;;;,
41;199;8;209;x;x;;;;;;;;;;;;;;;;;;;,
42;0;128;192;x;x;;;;;;;;;;;;;;;;;;;,
43;245;53;90;x;x;;;;;;;;;;;;;;;;;;;,
44;214;101;177;x;x;;;;;;;;;;;;;;;;;;;,
45;90;87;1;x;x;;;;;;;;;;;;;;;;;;;,
46;5;21;160;x;x;;;;;;;;;;;;;;;;;;;,
47;0;20;84;x;x;;;;;;;;;;;;;;;;;;;,
48;31;233;117;x;x;;;;;;;;;;;;;;;;;;;,
49;92;217;37;x;x;;;;;;;;;;;;;;;;;;;,
50;224;150;171;x;x;;;;;;;;;;;;;;;;;;;,
51;128;25;228;x;x;;;;;;;;;;;;;;;;;;;,
52;200;176;182;x;x;;;;;;;;;;;;;;;;;;;,
53;0;77;102;x;x;;;;;;;;;;;;;;;;;;;,
54;76;223;134;x;x;;;;;;;;;;;;;;;;;;;,
55;0;56;90;x;x;;;;;;;;;;;;;;;;;;;,
56;0;58;150;x;x;;;;;;;;;;;;;;;;;;;,
57;190;207;249;x;x;;;;;;;;;;;;;;;;;;;,
58;0;1;52;x;x;;;;;;;;;;;;;;;;;;;,
59;117;34;35;x;x;;;;;;;;;;;;;;;;;;;,
60;182;123;245;x;x;;;;;;;;;;;;;;;;;;;,
61;115;33;96;x;x;;;;;;;;;;;;;;;;;;;,
62;69;24;122;x;x;;;;;;;;;;;;;;;;;;;,
63;32;105;215;x;x;;;;;;;;;;;;;;;;;;;,
64;150;235;143;x;x;;;;;;;;;;;;;;;;;;;,
65;216;197;11;x;x;;;;;;;;;;;;;;;;;;;,
66;238;153;197;x;x;;;;;;;;;;;;;;;;;;;,
67;252;36;105;x;x;;;;;;;;;;;;;;;;;;;,
68;6;87;157;x;x;;;;;;;;;;;;;;;;;;;,
69;73;188;23;x;x;;;;;;;;;;;;;;;;;;;,
70;205;9;140;x;x;;;;;;;;;;;;;;;;;;;,
71;38;65;244;x;x;;;;;;;;;;;;;;;;;;;,
72;65;243;229;x;x;;;;;;;;;;;;;;;;;;;,
73;69;202;193;x;x;;;;;;;;;;;;;;;;;;;,
